# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_2[1] c_2[2] c_2[3] c_2[4] c_2[5]
10000 100
1 0.06 0 0 0 0
2 0.18 0 0 0 0
3 0.3 0 0 0 0
4 0.42 0 0 0 0
5 0.54 0 0 0 0
6 0.66 0 0 0 0
7 0.78 0 0 0 0
8 0.9 0 0 0 0
9 1.02 0 0 0 0
10 1.14 0 0 0 0
11 1.26 0 0 0 0
12 1.38 0 0 0 0
13 1.5 0 0 0.00764737 0.000912017
14 1.62 0 0 0.329706 0.0466202
15 1.74 0 0 1.17594 0.234603
16 1.86 0 0 1.32875 0.477253
17 1.98 0 0 0.866052 0.656438
18 2.1 0 0 0.528614 0.779506
19 2.22 0 0 0.346813 0.869742
20 2.34 0 0 0.257214 0.944152
21 2.46 0.00669591 0.00214592 0.255386 1.02575
22 2.58 0.616244 0.217811 0.339223 1.14496
23 2.7 2.58267 1.2073 0.521483 1.34565
24 2.82 2.79014 2.37339 0.777519 1.67205
25 2.94 1.87216 3.22403 1.08022 2.16497
26 3.06 1.26807 3.84807 1.30106 2.80805
27 3.18 1.04099 4.4015 1.40721 3.55912
28 3.3 0.944103 4.94185 1.41351 4.37162
29 3.42 0.918227 5.50622 1.35961 5.21089
30 3.54 0.918256 6.11094 1.25675 6.04222
31 3.66 0.985948 6.80515 1.16245 6.86422
32 3.78 0.96424 7.5294 1.07289 7.67334
33 3.9 0.987322 8.31867 1.02016 8.49254
34 4.02 0.980681 9.1515 0.997552 9.34345
35 4.14 0.985545 10.0393 0.98371 10.2334
36 4.26 1.02349 11.0157 0.978528 11.1707
37 4.38 0.98121 12.0049 0.977776 12.1608
38 4.5 1.0199 13.0903 0.971613 13.1994
39 4.62 0.993633 14.2052 0.959737 14.2808
40 4.74 1.0063 15.3933 0.940362 15.396
41 4.86 1.0038 16.6393 0.944508 16.5734
42 4.98 0.973022 17.9073 0.948905 17.8155
43 5.1 1.00049 19.2749 0.961125 19.1348
44 5.22 1.00463 20.7135 0.980272 20.5445
45 5.34 0.973077 22.1717 0.983389 22.0244
46 5.46 0.988657 23.7206 0.99972 23.5975
47 5.58 0.968194 25.3047 0.997038 25.2359
48 5.7 0.948188 26.9236 1.01116 26.9698
49 5.82 0.972449 28.6547 1.0094 28.7742
50 5.94 0.973573 30.4601 1.00248 30.6411
51 6.06 0.991176 32.373 1.00289 32.5851
52 6.18 0.98922 34.3584 1.00855 34.6182
53 6.3 1.01985 36.4861 0.995802 36.704
54 6.42 1.02131 38.6983 0.997708 38.8744
55 6.54 1.04743 41.0526 1.00054 41.1333
56 6.66 1.03323 43.4609 1.00446 43.4849
57 6.78 1.04528 45.9858 1.00908 45.9331
58 6.9 1.04345 48.5968 0.99843 48.4419
59 7.02 1.03145 51.2682 1.00569 51.0577
60 7.14 1.01965 54 1.00903 53.7726
61 7.26 1.01014 56.7979 1.00403 56.5661
62 7.38 1.01391 59.7002 1.00861 59.4654
63 7.5 0.995837 62.644 1.01168 62.469
64 7.62 0.997197 65.6869 1.00212 65.5402
65 7.74 0.985687 68.7901 1.00688 68.7241
66 7.86 0.992161 72.0114 0.999121 71.9819
67 7.98 0.960088 75.2242 1.00027 75.3439
68 8.1 0.979227 78.6006 0.999898 78.8065
69 8.22 0.991954 82.1234 0.991067 82.3409
70 8.34 0.995542 85.7633 0.995389 85.9951
71 8.46 1.00129 89.5294 0.99707 89.7615
72 8.58 1.00209 93.4056 0.991118 93.6122
73 8.7 1.02054 97.465 0.992336 97.576
74 8.82 1.01739 101.625 0.991312 101.646
75 8.94 1.00393 105.841 0.998305 105.857
76 9.06 1.01634 110.226 0.995358 110.17
77 9.18 1.0262 114.77 1.00042 114.619
78 9.3 1.01242 119.372 1.00173 119.192
79 9.42 1.00227 124.045 1.00374 123.893
80 9.54 0.988093 128.771 0.999172 128.692
81 9.66 1.01181 133.733 1.00818 133.658
82 9.78 1.01991 138.859 1.00175 138.715
83 9.9 0.997549 143.997 1.00564 143.917
84 10.02 1.00108 149.279 1.00187 149.226
85 10.14 0.993455 154.648 1.0011 154.659
86 10.26 0.986431 160.105 0.998522 160.206
87 10.38 1.00397 165.789 1.00812 165.939
88 10.5 1.00815 171.631 0.996348 171.737
89 10.62 0.994352 177.524 0.991712 177.64
90 10.74 1.0053 183.619 0.996255 183.706
91 10.86 0.998118 189.805 0.994533 189.896
92 10.98 1.00488 196.172 0.99551 196.231
93 11.1 1.01072 202.717 0.99769 202.719
94 11.22 1.01222 209.414 0.998695 209.354
95 11.34 1.00553 216.209 1.00289 216.161
96 11.46 1.01393 223.208 0.998713 223.084
97 11.58 1.00746 230.306 1.00316 230.184
98 11.7 0.994796 237.462 1.0042 237.439
99 11.82 1.00709 244.856 1.00475 244.848
100 11.94 1.0017 252.361 0.998882 252.364
