s vacf_x VACF
0 2.3444059270622445957e-06 7.2808257824280095139e-06
10 2.3395638664230874662e-06 7.2690846057919643189e-06
20 2.3281724516152818931e-06 7.2380458265311811288e-06
30 2.3105100620529510152e-06 7.1883075153449860469e-06
40 2.2869895016024528285e-06 7.1207603680259233273e-06
50 2.2581241228305747501e-06 7.0365137169160962897e-06
60 2.2244828471039493413e-06 6.9368330165881522892e-06
70 2.1866432484073967229e-06 6.8230616292194048127e-06
80 2.1451566385863279123e-06 6.6965652283953272606e-06
90 2.1005314825927177691e-06 6.5587273945404684738e-06
100 2.0532309172700556111e-06 6.4109684699681484727e-06
110 2.0036828296650346286e-06 6.2547537422162559185e-06
120 1.9523001645645513681e-06 6.0915844309341061336e-06
130 1.8994927648899847093e-06 5.9229273007484594928e-06
140 1.8456599403959289466e-06 5.7501254497354326522e-06
150 1.7911877924509125612e-06 5.5743728975666571933e-06
160 1.7364399584774698351e-06 5.3966937593604263394e-06
170 1.68174624032835354e-06 5.2179662057948378992e-06
180 1.6273990816494900698e-06 5.0389802494696147439e-06
190 1.5736477114466576463e-06 4.8604643075358920182e-06
200 1.5206932254448511087e-06 4.6831340758727981472e-06
210 1.4686864666734257589e-06 4.5076885047357436896e-06
220 1.4177281910965072076e-06 4.3347987542655481288e-06
230 1.3678665625171279095e-06 4.1650848275132293968e-06
240 1.3191094024267265291e-06 3.9991288368018864717e-06
250 1.2714424908519923133e-06 3.8374896077193742733e-06
260 1.2248485242495599992e-06 3.6806940128258749717e-06
270 1.1793249971161750383e-06 3.5292088428914569832e-06
280 1.1348895443236539429e-06 3.3834000279156742413e-06
290 1.0915684427370028772e-06 3.2435021105295173307e-06
300 1.0494002814703969153e-06 3.1096371731836688307e-06
310 1.0084297181609197103e-06 2.9818251172005053332e-06
320 9.6871110047093440047e-07 2.8599988038021483927e-06
330 9.3030494575230168607e-07 2.7440276920897227924e-06
340 8.9327051429665970018e-07 2.6337217829887384961e-06
350 8.5765420220076507566e-07 2.5288604996630019217e-06
360 8.2348754627133701498e-07 2.4291986407465542038e-06
370 7.9078394220945843347e-07 2.3344811615809269653e-06
380 7.5954077606589947406e-07 2.2444515998087065469e-06
390 7.297389126971042963e-07 2.1588894872481894112e-06
400 7.0135833916688553975e-07 2.0776346872791837121e-06
410 6.7437463895207028598e-07 2.00059513004759634e-06
420 6.4878438943450402903e-07 1.9277548716559171959e-06
430 6.2462047088735462889e-07 1.8591627946934134144e-06
440 6.0195484256306578882e-07 1.7949164986163277317e-06
450 5.8088057122864633095e-07 1.7351259649096463347e-06
460 5.614750662269648254e-07 1.6798693068240587046e-06
470 5.4377671041408941342e-07 1.6291558317714091866e-06
480 5.2776425333968994216e-07 1.5828976440674281069e-06
490 5.1335384306616120596e-07 1.5408801368484022634e-06
500 5.0040328480358974783e-07 1.5027816302033261272e-06
510 4.8872956368658877292e-07 1.4681940281978962451e-06
520 4.7812704652423312335e-07 1.4366687692852036639e-06
530 4.6838815275983322863e-07 1.4077449339649354127e-06
540 4.5931532073745227166e-07 1.380960097602462752e-06
550 4.5074586953521130001e-07 1.3558674340992691248e-06
560 4.4254120874042467125e-07 1.3320208943041664602e-06
570 4.3459039156487644367e-07 1.3089950372311232941e-06
580 4.2680699863141886845e-07 1.2864106790322890722e-06
590 4.1913056183980975981e-07 1.2639868903613133113e-06
600 4.1152201625321454631e-07 1.2415574221524850155e-06
610 4.0395973673656123676e-07 1.2190794079787974464e-06
620 3.9644068533947033581e-07 1.196602527529414931e-06
630 3.8897974906818749799e-07 1.1742410666305863969e-06
640 3.8160639160307917161e-07 1.1521419323696314265e-06
650 3.7434052741722170347e-07 1.1304487483605912686e-06
660 3.6720075024752608243e-07 1.1092883292727596727e-06
670 3.6019307214504245221e-07 1.0887852948001982451e-06
680 3.5330554163468607872e-07 1.0690425037976356498e-06
690 3.4651757519775259985e-07 1.0501435317711101575e-06
700 3.3979361424080419554e-07 1.0321508804198900646e-06
710 3.3308690469422663448e-07 1.0150880141590577144e-06
720 3.2634315347914165518e-07 9.9895425311951407652e-07
730 3.1950491497402897456e-07 9.8371886343838500055e-07
740 3.1251936750476845517e-07 9.6934980616355551642e-07
750 3.053444874005427472e-07 9.5579200500509652261e-07
760 2.9794920506503859687e-07 9.4295496804821388814e-07
770 2.9031767463252725454e-07 9.3071072869181574236e-07
780 2.8246771124304516798e-07 9.1892232461771591463e-07
790 2.7445591823070535768e-07 9.0748476319922192756e-07
800 2.6638826405674135504e-07 8.9638292082853850038e-07
810 2.58408407686178943e-07 8.8571091886797599854e-07
820 2.5066588635145934057e-07 8.7558286635427240674e-07
830 2.4326971882004178247e-07 8.6604349441412220328e-07
840 2.3628888352554919379e-07 8.5705163487713439345e-07
850 2.2976531741063170443e-07 8.4853454999609716651e-07
860 2.2373333998599878186e-07 8.4045533690685403246e-07
870 2.1823662546684775453e-07 8.3283450497463836161e-07
880 2.1331513244312536946e-07 8.2573058075657052587e-07
890 2.0899457058671126914e-07 8.1919480194751288289e-07
900 2.052735397478732462e-07 8.132483778366289956e-07
910 2.0211781756656340598e-07 8.0786507532738984995e-07
