s vacf_x VACF
0 1.7129839575212376963e-06 5.2347923405854886585e-06
10 1.7105803368050887325e-06 5.2252198599027860367e-06
20 1.6985714542892659098e-06 5.1859311958535690278e-06
30 1.677171383327060031e-06 5.1175186923039376179e-06
40 1.6467071948942468734e-06 5.0209401013915182775e-06
50 1.6075965206980516554e-06 4.8974596076370812453e-06
60 1.5603431466170786808e-06 4.7486161126833274703e-06
70 1.5055115190401288117e-06 4.5761856665556440899e-06
80 1.4437328235072806152e-06 4.3821595494289076911e-06
90 1.3756973113177480023e-06 4.1687055656770217516e-06
100 1.30214600616611461e-06 3.9381565711048736406e-06
110 1.2238576893387290941e-06 3.6929704909689569257e-06
120 1.141642441400622349e-06 3.4357044637557056203e-06
130 1.0563301859788931794e-06 3.1689904109423692663e-06
140 9.6874808630750375199e-07 2.895466852843090527e-06
150 8.7971099597781757738e-07 2.617742334042094556e-06
160 7.8999652894500073655e-07 2.3383193803449284567e-06
170 7.0032800674302592192e-07 2.0595404161994775345e-06
180 6.1136458947121603574e-07 1.7835405259325137058e-06
190 5.2368021290475397063e-07 1.5121924673312049098e-06
200 4.3776537738774203099e-07 1.2471010470907273696e-06
210 3.540344577627883431e-07 9.8959424114910044474e-07
220 2.7283758038164838561e-07 7.4075298015570802458e-07
230 1.9447400803699358243e-07 5.0144561149002808885e-07
240 1.1919829465279239812e-07 2.7236772278747281129e-07
250 4.7234772159507870491e-08 5.4080138589611200165e-08
260 -2.121636231373717128e-08 -1.5295266253890136435e-07
270 -8.5982537405046520886e-08 -3.4834377142444220331e-07
280 -1.46925714846887254e-07 -5.3179046842685312462e-07
290 -2.0395443960997204172e-07 -7.0308838421447572265e-07
300 -2.5701900567449048142e-07 -8.6212877565702160103e-07
310 -3.0611295682919534203e-07 -1.008903576230869884e-06
320 -3.5125891614959795168e-07 -1.143494843051335672e-06
330 -3.9249454988359255708e-07 -1.2660565327537675413e-06
340 -4.2986667983346193828e-07 -1.3767997001763764701e-06
350 -4.6342025071141816499e-07 -1.4759726850539120057e-06
360 -4.9319897299417704823e-07 -1.5638537639333695955e-06
370 -5.1924938142901586026e-07 -1.6407320908042374146e-06
380 -5.4163104416225846718e-07 -1.7069069227899327963e-06
390 -5.6042415284654909124e-07 -1.7626816048227907059e-06
400 -5.7572764368095515173e-07 -1.8083403103180968885e-06
410 -5.8766501400462102749e-07 -1.8441644624933896018e-06
420 -5.9638040295241917165e-07 -1.8704411233470763122e-06
430 -6.0203347484930447846e-07 -1.8874677757684444116e-06
440 -6.0480232453212926079e-07 -1.8955814812630466738e-06
450 -6.0487753103066136625e-07 -1.8951701376334244363e-06
460 -6.0245868380130978771e-07 -1.8866635848584250229e-06
470 -5.9775565082077097872e-07 -1.8705418435115329193e-06
480 -5.9098640847377037573e-07 -1.8473227048701650622e-06
490 -5.8237494245618989609e-07 -1.8175515509861030292e-06
500 -5.7214741675756715179e-07 -1.7818001847587827678e-06
510 -5.6053222681732388084e-07 -1.7406516619350115092e-06
520 -5.4774594880744483424e-07 -1.6947052747597162598e-06
530 -5.3398928171806325238e-07 -1.6445730647347017795e-06
540 -5.1944368551292357854e-07 -1.5909092690377043399e-06
550 -5.0427591322249094891e-07 -1.5344145936982575112e-06
560 -4.8863468567938702483e-07 -1.475813429820835306e-06
570 -4.7264791281371933659e-07 -1.4158135906580734721e-06
580 -4.5642211643913963199e-07 -1.355058962783829207e-06
590 -4.4004551334248099246e-07 -1.2941137419340744801e-06
600 -4.2358689548949934372e-07 -1.233443285510486128e-06
610 -4.071141159558045198e-07 -1.1734432825560819457e-06
620 -3.9070068045588261128e-07 -1.1144544229821469085e-06
630 -3.7441843310311410552e-07 -1.0567646720138489372e-06
640 -3.5833480330277130393e-07 -1.0006205558887464852e-06
650 -3.4250879890858020925e-07 -9.4622611544116378209e-07
660 -3.2699200250708919251e-07 -8.9375271934346554288e-07
670 -3.1182282797722602083e-07 -8.4334637728241182691e-07
680 -2.9702633826930360137e-07 -7.9511291289343685905e-07
690 -2.8261366597594910637e-07 -7.4914116380549909055e-07
700 -2.6859031258434396118e-07 -7.0549723242359395277e-07
710 -2.5496028653884125995e-07 -6.6422575024253883299e-07
720 -2.4172731590126140843e-07 -6.2535445306348345648e-07
730 -2.2890360322887802867e-07 -5.8890143500399905763e-07
740 -2.165105216594153696e-07 -5.548784514117773866e-07
750 -2.0456892412724512669e-07 -5.232778101353712253e-07
760 -1.9309825167673153065e-07 -4.940638585765630822e-07
770 -1.8211066632681534238e-07 -4.6715936964077322116e-07
780 -1.7161027673704776524e-07 -4.4244599397743797535e-07
790 -1.6160319291645269999e-07 -4.1976738474147299417e-07
800 -1.5210178295991729056e-07 -3.9895216905377138743e-07
810 -1.4312177894767408481e-07 -3.7982575491254907653e-07
820 -1.3467963339743175431e-07 -3.622314471182490715e-07
830 -1.2678469952006375072e-07 -3.4603864762927613807e-07
840 -1.1943533146407894262e-07 -3.3114282373191403197e-07
850 -1.1262092803854141852e-07 -3.1746656563840844462e-07
860 -1.0631429821396679975e-07 -3.0494730230399530185e-07
870 -1.0047668329149931661e-07 -2.935269562237123907e-07
880 -9.5058198462029745044e-08 -2.8313695314070095161e-07
890 -9.0009741211954612943e-08 -2.7371258480630324588e-07
900 -8.5292526347055903951e-08 -2.6518881140637478577e-07
910 -8.0881803156757405706e-08 -2.574983178632984208e-07
920 -7.6760331932869840158e-08 -2.5056865961694397027e-07
930 -7.2930576839132595072e-08 -2.4433872641909333416e-07
940 -6.9406960344245500182e-08 -2.3875946301721034572e-07
950 -6.6216202178792118512e-08 -2.3378919972123403307e-07
960 -6.3378114672872653474e-08 -2.2937716338451996232e-07
970 -6.0893341179108459397e-08 -2.2544952851333953217e-07
980 -5.873516809130559574e-08 -2.2188062433943099612e-07
990 -5.6836220647227302381e-08 -2.1848381864385410968e-07
1000 -5.5103373371886450794e-08 -2.1503545191309928145e-07
1010 -5.3424884531057377733e-08 -2.1126675579558182986e-07
1020 -5.1692881244880557111e-08 -2.0691699458598933471e-07
1030 -4.9816580560128799932e-08 -2.0176786003300009155e-07
1040 -4.7731608223965875139e-08 -1.9566503852005830215e-07
1050 -4.540895062083374212e-08 -1.8854866149484815312e-07
1060 -4.2852624511665610115e-08 -1.8044637439605908675e-07
1070 -4.0099577545743568694e-08 -1.7146435419994881711e-07
1080 -3.7213852760303480945e-08 -1.6177356428059020857e-07
1090 -3.4264216982675762171e-08 -1.5156769547802950548e-07
1100 -3.1316457219346411977e-08 -1.4104370809046222058e-07
1110 -2.8422127439592582039e-08 -1.3036908276527277498e-07
1120 -2.5609695588869071822e-08 -1.1965397446628319915e-07
1130 -2.2879501285728572075e-08 -1.0894637079802998072e-07
1140 -2.0206066700071910616e-08 -9.8235524771439466198e-08
1150 -1.7545011245322462766e-08 -8.7469238810773270397e-08
1160 -1.4839595659750732453e-08 -7.6576653902532567559e-08
1170 -1.2032128316013225046e-08 -6.5475009855873524634e-08
1180 -9.0673932430288607926e-09 -5.4087645945310140498e-08
1190 -5.9028661258859889274e-09 -4.2349734448325188485e-08
1200 -2.5112965422964457993e-09 -3.0220086119127358474e-08
1210 1.1168581969688277194e-09 -1.7687021035683100799e-08
1220 4.9632200856483991884e-09 -4.7813862527068912849e-09
1230 8.9977686538137100355e-09 8.4259226200593422299e-09
1240 1.3169008916859176549e-08 2.1824627372403764742e-08
1250 1.7410319458685616607e-08 3.5266141709411614797e-08
1260 2.164804971524298057e-08 4.858390188061642555e-08
1270 2.5807795936255929763e-08 6.1600418326128387306e-08
1280 2.9816711656980854937e-08 7.4126647678808103703e-08
1290 3.3612954426806868918e-08 8.597722393648061032e-08
1300 3.7150411653261356267e-08 9.697745100606015374e-08
1310 4.0399002311988099371e-08 1.0697265998729544404e-07
1320 4.3339361126644291016e-08 1.1583278901702315656e-07
1330 4.5968884518005310669e-08 1.2346364328794279049e-07
1340 4.8298379236182860472e-08 1.2982219183257961453e-07
1350 5.034581959001554789e-08 1.3491202058518460026e-07
1360 5.2142509133535920159e-08 1.3878630489833908325e-07
1370 5.3716007242137319925e-08 1.4152877588216543937e-07
1380 5.509543176471909915e-08 1.4324502863373840994e-07
1390 5.630862336296598633e-08 1.4403906794569721283e-07
1400 5.7382142796811261527e-08 1.4401117227443631265e-07
1410 5.8338558033804133868e-08 1.4324591225608925073e-07
1420 5.9198653662393169846e-08 1.4181681470261964537e-07
1430 5.997529528909617386e-08 1.3977477643791727846e-07
1440 6.0671437500628591042e-08 1.3715232963365956272e-07
1450 6.127748056682958534e-08 1.3396986275617445293e-07
1460 6.1767366452865295727e-08 1.3022556684299472251e-07
1470 6.2104417805437530273e-08 1.2591075104937835975e-07
1480 6.2237163561444789959e-08 1.2099876413798497711e-07
1490 6.2109950941752044847e-08 1.1545643932969912026e-07
1500 6.1658176889944349534e-08 1.0925770930403092359e-07
1510 6.081864856209951144e-08 1.0239539936360486995e-07
1520 5.9533301486548828551e-08 9.4890957719265745097e-08
1530 5.7754300008268118766e-08 8.6788079347269589927e-08
1540 5.544546996757996824e-08 7.8156934627560650826e-08
1550 5.2582800689365285703e-08 6.9069794115997512206e-08
1560 4.9156537487587133692e-08 5.9589664607875919326e-08
1570 4.5174574256657907235e-08 4.976409770223784897e-08
1580 4.066576101972293212e-08 3.9625127707226165595e-08
1590 3.5684393703193153945e-08 2.9199836893939558047e-08
