s vacf_x VACF
0 8.457972728113155471e-07 2.516442778364916741e-06
10 8.4239355972068539105e-07 2.5057035732154891406e-06
20 8.3195732773566223443e-07 2.4737411611231956985e-06
30 8.1462907023248470705e-07 2.4209859255785479246e-06
40 7.9063920964341409528e-07 2.3481368747019732057e-06
50 7.6030118980279625179e-07 2.256152447714610012e-06
60 7.2400954444088633632e-07 2.1462364472089804542e-06
70 6.8222575953528316898e-07 2.0198038303594912027e-06
80 6.3547714803988381768e-07 1.878458242460137125e-06
90 5.8433971889914944138e-07 1.7239609850226455975e-06
100 5.2942766901733882873e-07 1.5581854792253642495e-06
110 4.7139068170075043318e-07 1.3830937870879469595e-06
120 4.1089486474983084499e-07 1.200694001263272817e-06
130 3.4861316949393667912e-07 1.0130035827171399703e-06
140 2.8521654088794379605e-07 8.2202189540170234783e-07
150 2.2136019730704247339e-07 6.296958483464634288e-07
160 1.576794326401969751e-07 4.3790023263554974949e-07
170 9.4770832640515774565e-08 2.4840181119180095515e-07
180 3.3185425989430999994e-08 6.2843650193707492607e-08
190 -2.6572956886761910938e-08 -1.1725937359041365629e-07
200 -8.4041322636059587066e-08 -2.9048744266776825853e-07
210 -1.387817574043292949e-07 -4.5548893388005638457e-07
220 -1.9038424060374040479e-07 -6.1096414096844241049e-07
230 -2.3846917499120484892e-07 -7.5570044888846213051e-07
240 -2.8270337467742393724e-07 -8.8862079987716763881e-07
250 -3.2282052583814728059e-07 -1.0088421551832597156e-06
260 -3.5861291475261099719e-07 -1.1156729142952631583e-06
270 -3.8993559755669469533e-07 -1.2086194765906213412e-06
280 -4.1669899633156970054e-07 -1.2873626782310696166e-06
290 -4.3885745418932454541e-07 -1.3517434529891576458e-06
300 -4.5641204967665652162e-07 -1.4017574061676758235e-06
310 -4.694022594323571649e-07 -1.4375358873125751184e-06
320 -4.7791459614697812835e-07 -1.4593653957271444289e-06
330 -4.8207821239854981885e-07 -1.4676855667636305809e-06
340 -4.8206776027609859687e-07 -1.4630787627046829774e-06
350 -4.7810163526101068944e-07 -1.4462795751137545639e-06
360 -4.7044069859930377554e-07 -1.4181493165726073851e-06
370 -4.5937428512055930725e-07 -1.3796436275846215704e-06
380 -4.4521434294512992598e-07 -1.3317859358919509067e-06
390 -4.2828179002292537261e-07 -1.2756322414816890797e-06
400 -4.0891060520629916019e-07 -1.2122624839986268421e-06
410 -3.8744311396618178656e-07 -1.1427713051488256781e-06
420 -3.6422257711824912726e-07 -1.068263982475224027e-06
430 -3.3959786288534744728e-07 -9.8985239753787232649e-07
440 -3.1391885052515529737e-07 -9.086377283204489017e-07
450 -2.8752681964221178747e-07 -8.2569528436187421423e-07
460 -2.6075538404411643847e-07 -7.4205531244320358727e-07
470 -2.3392066861981448714e-07 -6.5869811277303876539e-07
480 -2.0731973785135676437e-07 -5.7653853996503453037e-07
490 -1.8122711599259376498e-07 -4.9641386897615331135e-07
500 -1.5588804591569968859e-07 -4.1907532705659562524e-07
510 -1.3152669646305919379e-07 -3.4520231783261044595e-07
520 -1.0833571824142694971e-07 -2.7539084390967761843e-07
530 -8.6480444962758453159e-08 -2.1015307872174333524e-07
540 -6.6099954176603849766e-08 -1.4992313007717405222e-07
550 -4.7304102514496405599e-08 -9.5047536025254369536e-08
560 -3.0174794432881353658e-08 -4.579090275237932298e-08
570 -1.4765729911551687697e-08 -2.3227572918049983369e-09
580 -1.1050057264863827367e-09 3.5271505957908816407e-08
590 1.0806942192877328265e-08 6.7002643410144744851e-08
600 2.0989122032562443972e-08 9.2974441902896762853e-08
610 2.9488413050941377093e-08 1.1338487696594342208e-07
620 3.6373727170375986559e-08 1.2852475649806912014e-07
630 4.1733135824417598257e-08 1.3876805932456930529e-07
640 4.5671636040939269602e-08 1.4456112910583233108e-07
650 4.8310453343362224884e-08 1.4640566674358730184e-07
660 4.9779740980993573175e-08 1.4483589207274884679e-07
670 5.0222202481557364387e-08 1.4040925791869281078e-07
680 4.9780836912676334603e-08 1.3367607696525312041e-07
690 4.8599058823279075475e-08 1.2516948130264780871e-07
700 4.6821870073582095146e-08 1.1539392174387027556e-07
710 4.4593070421921514052e-08 1.0482420683245351737e-07
720 4.2045895145272537328e-08 9.3889596297412914228e-08
730 3.931067649530023591e-08 8.2980190431507812836e-08
740 3.6510311007754557418e-08 7.244531132895087096e-08
750 3.3755175750948805062e-08 6.2589313891812378984e-08
760 3.1148353849614636264e-08 5.368895346936573851e-08
770 2.8786332043557806166e-08 4.5982188118312504719e-08
780 2.6754378266231161175e-08 3.9676387483581265713e-08
790 2.5125473458969739304e-08 3.4941014026864443521e-08
800 2.3962763624653104021e-08 3.1908812153470277667e-08
810 2.3318199509196329175e-08 3.0682846255705139778e-08
820 2.3234840647655329023e-08 3.1337045734125264342e-08
830 2.3740019741790710534e-08 3.3906677446525369332e-08
840 2.4845251126118509845e-08 3.8395619786378846375e-08
850 2.6549199815938671112e-08 4.4773915159986058232e-08
860 2.8833652612552856637e-08 5.2973798716993898377e-08
870 3.1665068612065042687e-08 6.2892668576336099426e-08
880 3.499470053237123236e-08 7.4393099432713992431e-08
890 3.8759515052524101358e-08 8.7303696988609271129e-08
900 4.288165790506914965e-08 1.0142329267800596897e-07
910 4.726901507311569154e-08 1.1651966305100569919e-07
920 5.1827738310046869779e-08 1.3234310802864274068e-07
930 5.6461429019660084271e-08 1.4863497985498260005e-07
940 6.1077843726187695324e-08 1.6513114035114952863e-07
950 6.5584516105348537512e-08 1.8156367794911284831e-07
960 6.9891231036691433545e-08 1.9765917255696550716e-07
970 7.3910066680199067461e-08 2.131378531001150942e-07
980 7.755448363227848948e-08 2.2771411896391449556e-07
990 8.0734666988659523582e-08 2.4109177104942216453e-07
1000 8.3357299267284776177e-08 2.5296524363484359422e-07
1010 8.533161116311042593e-08 2.630319711150076419e-07
1020 8.6562322646761292366e-08 2.7098371162949511045e-07
1030 8.6965333202603599142e-08 2.7653513275792686464e-07
1040 8.6465438804178308899e-08 2.7944110351184946044e-07
1050 8.5010951315683713718e-08 2.7951125763628416178e-07
1060 8.2571222417236826101e-08 2.7661660825735833702e-07
1070 7.9139258957260085269e-08 2.706929295600496428e-07
1080 7.4729679298243260439e-08 2.6173923791975315915e-07
1090 6.9379360452085304453e-08 2.4980544287644894017e-07
1100 6.3145784100915822058e-08 2.3499593195520337901e-07
1110 5.6100777383284313408e-08 2.1746281222639366857e-07
1120 4.8331815522049920016e-08 1.9740292960964806418e-07
1130 3.9939937488322364289e-08 1.7505274313652529325e-07
1140 3.1036249997163274481e-08 1.506798075427727946e-07
1150 2.1733433634580678619e-08 1.245741618981307551e-07
1160 1.2146135032220053073e-08 9.7038054853904458161e-08
1170 2.3894151264201246684e-09 6.8385949273220986967e-08
1180 -7.42117175410894366e-09 3.8949445889795775978e-08
1190 -1.7173176667739174655e-08 9.0692034640577222709e-09
1200 -2.6756176918619008386e-08 -2.0905074453471454349e-08
1210 -3.6069552259578773098e-08 -5.0619731033109528196e-08
1220 -4.5014570328059577814e-08 -7.9716359728329845199e-08
1230 -5.3497625808773094291e-08 -1.0783903986479455273e-07
1240 -6.142983797143223507e-08 -1.346428678314066624e-07
1250 -6.8719856574977706939e-08 -1.5978071280298898832e-07
1260 -7.5283075207094718866e-08 -1.82932011662415499e-07
1270 -8.1042266140736473795e-08 -2.0379921374603905407e-07
1280 -8.5919750696035848779e-08 -2.2210366545392666761e-07
1290 -8.9843710867329736579e-08 -2.3759863344609141151e-07
1300 -9.2746019682165043135e-08 -2.500597874880184813e-07
1310 -9.4566982120892820327e-08 -2.5930906509954527766e-07
1320 -9.5258213280448608723e-08 -2.6521135593153927601e-07
